Go.	Va !
I'll try harder.	Je vais essayer plus fort.
I'll work alone.	Je travaillerai seul.
I'll work alone.	Je vais travailler seul.
I'm Azerbaijani.	Je suis Azeri.
I'm a TV addict.	Je suis accro à la télé.
I'm a bit drunk.	Je suis un peu ivre.
I'm a bit tipsy.	Je suis un peu éméché.
I'm a bit tipsy.	Je suis un peu éméchée.
I'm a bit tired.	Je suis un peu fatigué.
I'm a foreigner.	Je suis un étranger.
I'm a good cook.	Je suis un bon cuisinier.
I'm a happy man.	Je suis un homme heureux.
I'm a housewife.	Je suis femme au foyer.
I'm a masochist.	Je suis masochiste.
I'm a night owl.	Je suis un oiseau de nuit.
I'm able to run.	Je peux courir.
I'm able to ski.	Je sais skier.
I'm about ready.	Je suis presque prêt.
I'm about ready.	Je suis quasiment prêt.
I'm about ready.	Je suis presque prête.
I'm about ready.	Je suis quasiment prête.
I'm adventurous.	Je suis aventureuse.
I'm an engineer.	Je suis ingénieur.
I'm at work now.	Je suis actuellement au travail.
I'm begging you.	Je vous en supplie.
I'm begging you.	Je t'en supplie.
I'm catching on.	Je capte.
I'm catching on.	Je comprends.
I'm celebrating.	Je fais la fête.
I'm celebrating.	J'arrose ça.
I'm cleaned out.	Je suis lavé.
I'm color-blind.	Je suis daltonien.
I'm comfortable.	Je suis à mon aise.
I'm coming home.	J'arrive chez moi.
I'm cooperating.	Je suis en train de coopérer.
I'm cracking up.	Je craque.
I'm eating here.	Je mange ici.
I'm embarrassed.	Je suis gêné.
I'm feeling fit.	Je me sens en forme.
I'm feeling low.	Je me sens abattu.
I'm feeling low.	Je me sens abattue.
I'm from Brazil.	Je viens du Brésil.
I'm from Brazil.	Je suis originaire du Brésil.
I'm from France.	Je viens de France.
I'm from Turkey.	Je viens de Turquie.
I'm from Zambia.	Je suis de Zambie.
I'm getting old.	Je commence à devenir vieux.
I'm getting old.	Je vieillis.
I'm getting old.	Je me fais vieux.
I'm getting old.	Je me fais vieille.
I'm going crazy.	Je deviens fou.
I'm going crazy.	Je deviens folle.
I'm hardworking.	Je suis appliqué.
I'm hardworking.	Je suis appliquée.
I'm heartbroken.	J'ai le cœur brisé.
I'm here to win.	Je suis ici pour vaincre.
I'm in no hurry.	Je ne suis pas pressé.
I'm in no hurry.	Je ne suis pas pressée.
I'm interfering.	Je me mêle de ce qui ne me regarde pas.
I'm interfering.	Je dérange.
I'm introverted.	Je suis introverti.
I'm introverted.	Je suis introvertie.
I'm leaving now.	Je pars maintenant.
I'm left-handed.	Je suis gaucher.
I'm lucky today.	Je suis chanceux aujourd'hui.
I'm married now.	Je suis marié maintenant.
I'm nearsighted.	Je suis myope.
I'm not English.	Je ne suis pas anglais.
I'm not English.	Je ne suis pas anglaise.
I'm not a child.	Je ne suis pas un enfant.
I'm not a child.	Je ne suis pas une enfant.
I'm not a crook.	Je ne suis pas un escroc.
I'm not a drunk.	Je ne suis pas un ivrogne.
I'm not a drunk.	Je ne suis pas une ivrogne.
I'm not a robot.	Je ne suis pas un robot.
I'm not a saint.	Je ne suis pas un saint.
I'm not a saint.	Je ne suis pas une sainte.
I'm not a thief.	Je ne suis pas un voleur.
I'm not a thief.	Je ne suis pas une voleuse.
I'm not alarmed.	Je ne m'alarme pas.
I'm not arguing.	Je ne me dispute pas.
I'm not ashamed.	Je n'ai pas honte.
I'm not certain.	Je n'en suis pas certain.
I'm not certain.	Je n'en suis pas certaine.
I'm not chicken.	Je n'ai pas les foies.
I'm not cooking.	Je ne suis pas en train de faire la cuisine.
I'm not jealous.	Je ne suis pas jalouse.
I'm not kidding.	Je ne blague pas.
I'm not leaving.	Je ne m'en vais pas.
I'm not married.	Je ne suis pas marié.
I'm not married.	Je ne suis pas mariée.
I'm not nervous.	Je ne suis pas nerveux.
I'm not nervous.	Je ne suis pas nerveuse.
I'm not patient.	Je ne suis pas patient.
I'm not patient.	Je ne suis pas patiente.
I'm not perfect.	Je ne suis pas parfait.
I'm not perfect.	Je ne suis pas parfaite.
I'm not selfish.	Je ne suis pas égoïste.
I'm not so sure.	Je n'en suis pas si sûr !
I'm not so sure.	Je n'en suis pas si sûre !
I'm not staying.	Je ne reste pas.
I'm not unhappy.	Je ne suis pas malheureux.
I'm not unhappy.	Je ne suis pas malheureuse.
I'm not wealthy.	Je ne suis pas riche.
I'm not worried.	Je ne me fais pas de souci.
I'm now unarmed.	Je ne suis pas actuellement armé.
I'm on vacation.	Je suis en vacances.
I'm only joking.	Je ne fais que blaguer.
I'm out of ammo.	Je suis à court de munitions.
I'm persevering.	Je persévère.
I'm pretty busy.	Je suis plutôt occupé.
I'm pretty busy.	Je suis plutôt occupée.
I'm quite happy.	Je suis assez heureux.
I'm quite happy.	Je suis assez heureuse.
I'm quite tired.	Je suis assez fatiguée.
I'm rather busy.	Je suis plutôt occupé.
I'm rather busy.	Je suis plutôt occupée.
I'm ready to go.	Je suis prêt à y aller.
I'm ready to go.	Je suis prêt pour partir.
I'm ready to go.	Je suis prête pour partir.
I'm really busy.	Je suis vraiment occupé.
I'm really busy.	Je suis vraiment occupée.
I'm really cold.	J'ai vraiment froid.
I'm replaceable.	Je suis remplaçable.
I'm resourceful.	Je suis plein de ressources.
I'm resourceful.	Je suis pleine de ressources.
I'm sick of you.	J'en ai marre de toi.
I'm sick of you.	J'en ai marre de vous.
I'm so confused.	Je suis tellement confus !
I'm so confused.	Je suis tellement perplexe.
I'm spontaneous.	Je suis spontanée.
I'm spontaneous.	Je suis spontané.
I'm such a fool.	Je suis un tel idiot.
I'm sympathetic.	J'éprouve de la compassion.
I'm the captain.	Je suis le capitaine.
I'm the surgeon.	Je suis le chirurgien.
I'm the teacher.	Je suis le professeur.
I'm the teacher.	Je suis la professeur.
I'm tired of it.	J'en ai ras le bol.
I'm truly sorry.	Je suis sincèrement désolé.
I'm truly sorry.	Je suis sincèrement désolée.
I'm trustworthy.	Je suis fiable.
I'm trustworthy.	On peut me faire confiance.
I'm unambitious.	Je suis dépourvu d'ambition.
I'm unambitious.	Je suis dépourvue d'ambition.
I'm unconvinced.	Je ne suis pas convaincu.
I'm unconvinced.	Je ne suis pas convaincue.
I'm very hungry.	J'ai une faim de loup.
I'm very hungry.	J'ai très faim.
I'm very hungry.	J'ai la dalle.
I'm very hungry.	J'ai les crocs.
I'm very modest.	Je suis fort modeste.
I'm very sleepy.	J'ai très sommeil.
I'm very strict.	Je suis très strict.
I'm very strict.	Je suis très stricte.
I'm watching TV.	Je suis en train de regarder la télévision.
I'm your doctor.	Je suis votre médecin.
I'm your friend.	Je suis votre ami.
I'm your friend.	Je suis votre amie.
I'm your friend.	Je suis ton ami.
I'm your friend.	Je suis ton amie.
I'm your lawyer.	Je suis votre avocat.
I'm your sister.	Je suis ta sœur.
I'm your sister.	Je suis votre sœur.
I've been wrong.	J'ai eu tort.
I've got a cold.	J'ai un rhume.
I've got a cold.	Je suis enrhumé.
I've got a plan.	Je dispose d'un plan.
I've got a plan.	J'ai un plan.
I've got it all.	J'ai tout pigé.
I've had enough.	J'en ai ras le bol.
I've had enough.	Ça suffit.
I've had enough.	J'en ai assez entendu.
I've had enough.	J'en ai assez vu.
I've had enough.	J'en ai assez avalé.
I've had enough.	J'en ai assez gobé.
I've had enough.	J'en ai assez supporté.
I've had enough.	J'en ai par-dessus la tête.
I've had enough.	Je suis gavé.
Is Tom dreaming?	Tom est-il en train de rêver ?
Is anybody here?	Il y a quelqu'un ?
Is anybody home?	Quelqu'un est-il là ?
Is anybody home?	Y a-t-il quelqu'un ?
Is anybody home?	Y a-t-il quelqu'un dans la maison ?
Is anybody hurt?	Quiconque est-il blessé ?
Is anyone there?	Quiconque est-il là ?
Is everybody OK?	Tout le monde va-t-il bien ?
Is he a teacher?	Est-il enseignant ?
Is he all right?	Va-t-il bien ?
Is he all right?	Se porte-t-il bien ?
Is he breathing?	Respire-t-il ?
Is it all there?	Tout est-il là ?
Is it all wrong?	Est-ce tout faux ?
Is it all wrong?	Est-ce entièrement mal ?
Is it clear now?	Est-ce désormais clair ?
Is it dangerous?	Est-ce dangereux ?
Is it dangerous?	Est-ce périlleux ?
Is it good news?	Est-ce une bonne nouvelle ?
Is it happening?	A-t-il lieu ?
Is it happening?	Se produit-il ?
Is it hazardous?	Est-ce dangereux ?
Is it important?	C'est grave ?
Is it important?	Est-ce grave ?
Is it important?	Est-ce important ?
Is it not black?	N'est-ce pas noir ?
Is it poisonous?	Est-ce toxique ?
Is it that hard?	Est-ce si dur ?
Is it that hard?	Est-ce si difficile ?
Is it too small?	Est-ce trop petit ?
Is it your bike?	C'est ta moto ?
Is she Japanese?	Est-elle japonaise ?
Is she a doctor?	Est-elle médecin ?
Is she here yet?	Est-elle déjà là ?
Is that a crime?	S'agit-il d'un crime ?
Is that a crime?	Est-ce un crime ?
Is that correct?	Est-ce juste ?
Is that genuine?	Est-ce véritable ?
Is that healthy?	Est-ce sain ?
Is that illegal?	Est-ce illégal ?
Is that unusual?	Est-ce inhabituel ?
Is this a river?	Est-ce que c'est une rivière ?
Is this a river?	Est-ce là une rivière ?
Is this correct?	Est-ce exact ?
Is this ethical?	Est-ce éthique ?
Is this my life?	Est-ce ma vie ?
Is this my wine?	Est-ce là mon vin ?
Is this natural?	Est-ce naturel ?
Is this serious?	Est-ce sérieux ?
Is today Monday?	Sommes-nous lundi ?
Isn't it enough?	N'est-ce pas assez ?
Isn't it lovely?	N'est-ce pas charmant ?
Isn't that nice?	N'est-ce pas chouette ?
Isn't that ours?	N'est-ce pas à nous ?
Isn't that true?	N'est-ce pas vrai ?
Isn't this nice?	N'est-ce pas chouette ?
It blew my mind.	Ça m'a explosé la tête.
It blew my mind.	Ça m'a fait halluciner.
It can be fatal.	Cela peut être fatal.
It can be fatal.	Cela peut se révéler fatal.
It could be Tom.	Cela pourrait être Tom.
It could be fun.	Ça pourrait être marrant.
It doesn't hurt.	Ça ne fait pas mal.
It is an option.	C'est une possibilité.
It isn't locked.	Il n'est pas verrouillé.
It isn't locked.	Elle n'est pas verrouillée.
It looked awful.	Ça avait l'air atroce.
It looked fresh.	Ça avait l'air frais.
It looked fresh.	Il avait l'air frais.
It looked fresh.	Elle avait l'air fraîche.
It looked funny.	Ça avait l'air amusant.
It looked funny.	Ça avait l'air drôle.
It may seem odd.	Cela peut sembler bizarre.
It seems likely.	Ça semble probable.
It smells burnt.	Ça sent le brûlé.
It sounded easy.	Ça semblait facile.
It sounded easy.	Ça semblait aisé.
It sounds crazy.	Ça semble dingue.
It sounds great!	Ça a l'air super !
It tasted sweet.	Ça avait un goût sucré.
It tasted sweet.	Ça goûtait sucré.
It took all day.	Ça a pris toute la journée.
It took all day.	Cela prit toute la journée.
It was a relief.	C'était un soulagement.
It was ages ago.	C'était il y a des années.
It was all done.	Tout était fini.
It was all done.	Tout était terminé.
It was all gone.	Tout était parti.
It was all gone.	Tout avait disparu.
It was all over.	Il y en avait partout.
It was all over.	C'était fini.
It was enticing.	C'était stimulant.
It was fabulous.	Ce fut fabuleux.
It was fabulous.	Ce a été fabuleux.
It was horrible.	Ce fut horrible.
It was horrible.	Ça a été horrible.
It was my fault.	C'était de ma faute.
It was personal.	C'était personnel.
It was too late.	Il était trop tard.
It was too long.	C'était trop long.
It was unlocked.	C'était déverrouillé.
It was unlocked.	Il était déverrouillé.
It was unlocked.	Elle était déverrouillée.
It was very hot.	Il faisait très chaud.
It was worth it.	Ça valait le coup.
It wasn't funny.	Ce n'était pas drôle.
It'll be better.	Ça s'améliorera.
It'll be tricky.	Ça sera délicat.
It's OK with me.	C'est bon pour moi.
It's a bad time.	C'est une mauvaise heure.
It's a dead end.	C'est un cul-de-sac.
It's a dead end.	C'est une impasse.
It's a disgrace.	C'est une honte.
It's a fine day.	C'est une belle journée.
It's a new book.	C'est un nouveau livre.
It's a nice day.	C'est une belle journée.
It's a shortcut.	C'est un raccourci.
It's a surprise.	C'est une surprise.
It's a travesty.	C'est une parodie.
It's about time.	Il est grand temps !
It's about time.	Il est temps.
It's about time.	Il est grand temps.
It's about time.	Il est temps !
It's about time.	Il est bien temps !
It's acceptable.	C'est acceptable.
It's all I know.	C’est tout ce que je sais.
It's all I know.	C'est tout ce que je sais.
It's all I need.	C'est tout ce dont j'ai besoin.
It's all I want.	C'est tout ce que je veux.
It's an outrage.	C'est un outrage.
It's an outrage.	Il s'agit d'un outrage.
It's artificial.	C'est artificiel.
It's as you say.	C'est comme tu le dis.
It's as you say.	C'est comme vous le dites.
It's cold today!	Il fait froid aujourd'hui !
It's cold today.	Il fait froid aujourd'hui.
It's cool today.	Il fait frais aujourd'hui.
It's dirt cheap.	C'est tellement bon marché que c'en est indécent.
It's dirty work.	Ce sont de basses œuvres.
It's easy money.	C'est de l'argent facile.
It's fine today.	Il fait beau aujourd'hui.
It's hard to do.	C'est difficile à faire.
It's impossible.	C'est impossible.
It's improbable.	C'est improbable.
It's inadequate.	C'est inapproprié.
It's inadequate.	C'est inadapté.
It's inadequate.	C'est insuffisant.
It's incredible!	C'est incroyable !
It's incredible.	C'est incroyable.
It's inevitable.	C'est inévitable.
It's irrelevant.	C'est hors sujet.
It's irrelevant.	C'est hors de propos.
It's just blood.	Ce n'est que du sang.
It's just money.	Ce n'est que de l'argent.
It's just money.	Il ne s'agit que d'argent.
It's just wrong.	C'est juste faux.
It's misleading.	C'est trompeur.
It's misleading.	C'est spécieux.
It's my problem.	C'est mon problème.
It's news to me.	Je n'étais pas au courant.
It's no problem.	Sans problème !
It's no problem.	Cela ne fait pas de difficulté.
It's no problem.	Ce n'est pas un problème.
It's not a date.	Il ne s'agit pas d'un rendez-vous galant.
It's not a game.	Ça n'est pas un jeu.
It's not a gift.	Ce n'est pas un cadeau.
It's not a joke.	Ce n'est pas une blague.
It's not broken.	Ce n'est pas cassé.
It's not enough.	Ce n'est pas suffisant.
It's not enough.	Ce n'est pas assez.
It's not enough.	C'est insuffisant.
It's not pretty.	Ce n'est pas joli.
It's not secure.	Ce n'est pas sécurisé.
It's not stupid.	C'est pas con.
It's not stupid.	Ce n'est pas bête.
It's on its way.	C'est en cours.
It's on my desk.	C'est sur mon bureau.
It's on my desk.	Il est sur mon bureau.
It's on my desk.	Elle est sur mon bureau.
It's only blood.	Ce n'est que du sang.
It's only blood.	Il ne s'agit que de sang.
It's only money.	Ce n'est que de l'argent.
It's only money.	Il ne s'agit que d'argent.
It's pretty bad.	C'est assez mauvais.
It's pretty hot.	Il fait plutôt chaud.
It's pretty new.	C'est assez nouveau.
It's quite good.	C'est assez bon.
It's quite nice.	C'est plutôt chouette.
It's quite safe.	C'est plutôt pépère.
It's really bad.	C'est vraiment mauvais.
It's really big.	C'est vraiment balaise.
It's really fun.	C'est vraiment marrant.
It's really sad.	C'est vraiment triste.
It's refreshing.	C'est rafraîchissant.
It's ridiculous.	C'est ridicule.
It's so obvious.	C'est si évident.
It's so strange.	C'est tellement bizarre.
It's so typical.	C'est tellement stéréotypé !
It's still dark.	Il fait encore nuit.
It's still mine.	C'est néanmoins le mien.
It's still mine.	C'est néanmoins la mienne.
It's still warm.	C'est encore chaud.
It's still warm.	Il fait encore chaud.
It's sufficient.	C'est suffisant.
It's tax season.	C'est l'époque des impôts.
It's terrifying.	C'est terrifiant.
It's time to go.	Il est temps d'y aller.
It's too bright.	Il y a trop de lumière.
It's too narrow.	C'est trop étroit.
It's very clean.	C'est très propre.
It's very close.	C'est très proche.
It's very early.	C'est très tôt.
It's very humid.	C'est très humide.
It's very risky.	C'est fort risqué.
It's very small.	C'est très petit.
It's very sweet.	C'est très gentil.
It's your money.	C'est ton argent.
It's your money.	C'est votre argent.
It's your money.	Il s'agit de votre argent.
Jesus loves you.	Jésus vous aime.
Jobs are scarce.	L'emploi est rare.
Just ignore her.	Ignore-la simplement.
Just ignore him.	Ignore-le simplement.
Just ignore him.	Ignorez-le simplement.
Just try it out.	Fais-en simplement l'expérience.
Just try it out.	Faites-en simplement l'expérience.
Just try it out.	Essaie-le simplement !
Just try it out.	Essaie-le juste!
Just try it out.	Essayez-le simplement !
Just try it out.	Essayez-le juste!
Keep on smiling.	Restez souriants.
Keep on smiling.	Restez souriante.
Keep on smiling.	Restez souriant.
Keep on smiling.	Restez souriantes.
Keep on smiling.	Reste souriant.
Keep on smiling.	Reste souriante.
Keep the secret.	Gardez le secret.
Know your enemy.	Il faut connaître son ennemi.
Koalas are cute.	Les koalas sont mignons.
Leave a message.	Laisse un message !
Leave a message.	Laissez un message !
Leave her alone.	Laisse-la tranquille !
Leave her alone.	Laissez-la tranquille !
Leave him alone.	Laissez-le seul.
Leave him alone.	Laisse-le tranquille.
Leave him alone.	Laissez-le tranquille.
Leave it closed.	Laisse-le fermé.
Leave our house.	Quittez notre maison !
Leave our house.	Quitte notre maison !
Lemons are sour.	Les citrons sont acides.
Lemons are sour.	Le citron est acide.
Let me check it.	Laisse-moi voir ça.
Let me find out.	Laisse-moi trouver !
Let me find out.	Laissez-moi trouver !
Let me go alone.	Laisse-moi tranquille.
Let me go alone.	Laissez-moi tranquille.
Let me help you.	Laissez-moi vous aider.
Let me help you.	Laisse-moi t'aider.
Let me help you.	Laisse-moi t'aider !
Let me help you.	Laissez-moi vous aider !
Let me see that.	Fais-moi voir ça.
Let me see that.	Montrez-moi ça.
Let's do it now.	Faisons-le maintenant !
Let's get drunk.	Enivrons-nous !
Let's get going.	Allons-y !
Let's go by bus.	Allons-y en bus.
Let's go by bus.	Rendons-nous y en bus.
Let's go by bus.	Allons par le bus.
Let's go by car.	Allons-y en voiture.
Let's go by car.	Rendons-nous-y en voiture.
Let's go by car.	Allons en voiture.
Let's go to bed.	Allons au lit !
Let's improvise.	Improvisons.
Let's improvise.	Improvisons !
Let's live here.	Vivons ici !
Let's negotiate.	Négocions.
Let's not argue.	Ne nous disputons pas !
Let's not fight.	Ne nous battons pas !
Let's not gloat.	Ne jubilons pas !
Let's not panic.	Ne paniquons pas.
Let's rest here.	Reposons-nous ici.
Let's start now.	Commençons maintenant.
Let's stay here.	Restons ici.
Let's stop here.	Arrêtons-nous là.
Let's stop here.	Arrêtons-nous ici.
Let's talk soon.	Parlons bientôt !
Let's try again.	Essayons encore une fois.
Let's try again.	Essayons de nouveau.
Let's turn back.	Retournons !
Let's wait here.	Attendons ici.
Let's wait here.	Attendons ici !
Life ain't easy.	La vie n'est pas facile.
Life is a dream.	La vie est un songe.
Life isn't easy.	La vie n'est pas facile.
Life's not easy.	La vie n'est pas facile.
Listen a minute.	Écoute une minute !
Listen a minute.	Écoutez une minute !
Lock the office.	Verrouille le bureau.
Lock the office.	Ferme le bureau à clé.
Lock your doors.	Verrouillez vos portes !
Lock your doors.	Verrouille tes portes !
Look around you.	Regarde autour de toi.
Look around you.	Regardez autour de vous.
Look behind you.	Regarde derrière toi.
Look behind you.	Regardez derrière vous.
Look what I did.	Regarde ce que j'ai fait !
Look what I did.	Regardez ce que j'ai fait !
Make a decision.	Prends une décision !
Make a decision.	Décide-toi !
Make a decision.	Décidez-vous !
Make a decision.	Prenez une décision !
Make it smaller.	Fais-le plus petit.
Make it smaller.	Faites-le plus petit.
Make it smaller.	Rends-le plus petit.
Make it smaller.	Rendez-le plus petit.
Make it smaller.	Fais-la plus petite.
Make it smaller.	Faites-la plus petite.
Make it smaller.	Rends-la plus petite.
Make it smaller.	Rendez-la plus petite.
Make some noise!	Fais du bruit !
Make some noise!	Faites du bruit !
Mary's my niece.	Mary est ma nièce.
May I be honest?	Puis-je être honnête ?
May I borrow it?	Puis-je l'emprunter ?
May I go to bed?	Puis-je aller au lit ?
May I go to bed?	Est-ce que je peux aller au lit ?
May I interrupt?	Puis-je t'interrompre ?
May I interrupt?	Puis-je vous interrompre ?
May I leave now?	Je peux partir, maintenant ?
May I try it on?	Puis-je l'essayer ?
May I try it on?	Puis-je essayer ceci ?
May I try it on?	Est-ce que je peux l'essayer ?
Maybe it's true.	C'est peut-être vrai.
Maybe it's true.	Peut-être est-ce la vérité.
Maybe next time.	Peut-être la prochaine fois.
Men should work.	Les hommes devraient travailler.
Merry Christmas!	Joyeux Noël !
Might I come in?	Puis-je entrer ?
My TV is broken.	Ma télé est cassée.
My TV is broken.	Mon téléviseur est cassé.
My bag is empty.	Mon sac est vide.
My book is here.	Mon livre est ici.
My bottle broke.	Ma bouteille s'est cassée.
My cat is happy.	Mon chat est heureux.
My cat is white.	Mon chat est blanc.
My father is in.	Papa est à la maison.
My father is in.	Mon père est à la maison.
My jeans shrank.	Mon jeans a rétréci.
My mouth is dry.	J'ai la bouche sèche.
My shift's over.	Mon service est terminé.
My wife was mad.	Ma femme était folle.
My wife was mad.	Ma femme était furieuse.
My work is done.	Mon travail est fait.
Natto is sticky.	Le natto est collant.
Nature is cruel.	La nature est cruelle.
Nature is scary.	La nature est terrifiante.
Neither is true.	Aucune des deux n'est vraie.
Neither is true.	Aucun des deux n'est vrai.
Never say never.	Il ne faut jamais dire jamais.
Never tell lies.	Ne dites jamais de mensonges.
Nice seeing you!	C'est chouette de te voir !
Nice seeing you!	C'est chouette de vous voir !
Nice to see you.	Je suis heureux de vous rencontrer à nouveau.
No one answered.	Personne ne répondit.
No one answered.	Personne n'a répondu.
No one can help.	Personne ne peut aider.
No one can tell.	Personne n'y comprend rien.
No one can tell.	Personne ne peut le dire.
No one flinched.	Personne ne flancha.
No one flinched.	Personne n'a flanché.
No one flinched.	Personne ne s'est dérobé.
No one flinched.	Personne ne se déroba.
No one got hurt.	Personne n'a été blessé.
No one got sick.	Personne ne tomba malade.
No one got sick.	Personne n'a été malade.
No one is there.	Il n'y a personne.
No one is there.	Personne n'est là.
No one likes me.	Personne ne m'apprécie.
No one saw that.	Personne ne le vit.
No one saw that.	Personne ne l'a vu.
No one was hurt.	Personne n'a été blessé.
No one was late.	Personne n'était en retard.
No one's around.	Personne n'est aux alentours.
No taxi stopped.	Aucun taxi ne s'arrêta.
No taxi stopped.	Aucun taxi ne s'est arrêté.
No, I didn't go.	Non, je ne suis pas parti.
No, I didn't go.	Non, je n'y suis pas allé.
Nobody answered.	Personne n'a répondu.
Nobody was home.	Personne n'était chez moi.
Nobody was home.	Personne n'était chez nous.
Now I'm serious.	Maintenant je suis sérieux.
Now go have fun.	Maintenant, va t'amuser.
Now go have fun.	Maintenant, allez vous amuser.
Now is the time.	C'est maintenant le moment.
Now stop crying.	Maintenant arrête de pleurer.
Okay, I'm ready.	Bon, je suis prêt.
Okay, I'm ready.	Bon, je suis prête.
Open the bottle.	Ouvre la bouteille.
Open the bottle.	Ouvrez la bouteille.
Open your mouth!	Ouvrez la bouche !
Open your mouth.	Ouvre la bouche !
Open your mouth.	Ouvrez la bouche !
Parties are fun.	Les fêtes sont amusantes.
Parties bore me.	Les fêtes m'ennuient.
Please call him.	Veuillez l'appeler.
Please call him.	Appelle-le, s'il te plait.
Please continue.	Veuillez continuez.
Please help Tom.	Veuillez aider Tom.
Please help Tom.	Aidez Tom, s'il vous plaît.
Please hurry up!	Veuillez vous presser !
Please hurry up!	Veuillez vous dépêcher !
Please hurry up!	Presse-toi, je te prie !
Please hurry up!	Dépêche-toi, je te prie !
Please sit down!	Veuillez vous asseoir !
Please sit down.	Asseyez-vous, s'il vous plaît.
Please sit down.	Assieds-toi, s'il te plaît.
Please sit here.	Veuillez vous asseoir ici.
Please sit here.	Asseyez-vous ici, je vous prie.
Please sit here.	Assieds-toi ici, je te prie.
Pour me a drink.	Verse-moi un verre !
Pour me a drink.	Versez-moi un verre !
Prices are high.	Les prix sont élevés.
Put a lid on it!	Ferme-la !
Put on your hat.	Mettez votre chapeau !
Put on your hat.	Mets ton chapeau !
Put your hat on.	Mettez votre chapeau !
Raise your hand.	Levez la main.
Raise your hand.	Lève la main.
Remove your hat.	Enlève ton chapeau.
Remove your hat.	Ôte ton chapeau !
Remove your hat.	Retire ton chapeau !
Remove your hat.	Retirez votre chapeau !
Remove your hat.	Ôtez votre chapeau !
Repeat after me.	Répète après moi.
Repeat after me.	Répétez après moi.
School bores me.	L'école m'ennuie.
School bores me.	L'école me barbe.
Science is cool.	La science, c'est sympa !
See what I mean?	Tu vois ce que je veux dire ?
See what I mean?	Vous voyez ce que je veux dire ?
Sharks eat fish.	Les requins mangent des poissons.
She admired him.	Elle l'admirait.
She adores cats.	Elle adore les chats.
She calmed down.	Elle s'est calmée.
She deserved it.	Elle l'a mérité.
She disappeared.	Elle a disparu.
She forgave him.	Elle lui pardonna.
She forgave him.	Elle lui a pardonné.
She got up late.	Elle s'est levée tard.
She had a radio.	Elle disposait d'une radio.
She has no fear.	Elle n'a pas peur.
She is Canadian.	Elle est canadienne.
She is Japanese.	Elle est japonaise.
She is a beauty.	C'est un canon.
She is a beauty.	C'est une beauté.
She is a doctor.	Elle est médecin.
She is a doctor.	Elle est toubib.
She is a runner.	C'est une coureuse.
She is a singer.	Elle est chanteuse.
She is a typist.	C'est une dactylographe.
She is a typist.	Elle est dactylo.
She is graceful.	Elle est gracieuse.
She is not tall.	Elle n'est pas grande.
She is powerful.	Elle est puissante.
She is stubborn.	Elle est obstinée.
She looked away.	Elle détourna le regard.
She looked away.	Elle a détourné le regard.
She looks young.	Elle a l'air jeune.
She lost a book.	Elle a égaré un livre.
She married him.	Elle l'a épousé.
She married him.	Elle l'épousa.
She never reads.	Elle ne lit jamais.
She pinched him.	Elle le pinça.
She pinched him.	Elle l'a pincé.
She scolded him.	Elle le sermonna.
She scolded him.	Elle le gronda.
She scolded him.	Elle l'a sermonné.
She scolded him.	Elle l'a grondé.
She seems happy.	Elle paraît heureuse.
She seems tired.	Elle a l'air fatigué.
She slapped him.	Elle le gifla.
She slapped him.	Elle l'a giflé.
She sounded mad.	Elle avait l'air folle.
She stabbed him.	Elle le poignarda.
She stabbed him.	Elle l'a poignardé.
She talks a lot.	Elle parle beaucoup.
She tempted him.	Elle l'incita.
She tempted him.	Elle l'a incité.
She tempted him.	Elle l'a tenté.
She tempted him.	Elle le tenta.
She tied him up.	Elle l'attacha.
She tied him up.	Elle l'a attaché.
She tied him up.	Elle le ligota.
She tied him up.	Elle l'a ligoté.
She trusted you.	Elle te faisait confiance.
She trusted you.	Elle avait confiance en toi.
She trusted you.	Elle vous faisait confiance.
She trusted you.	Elle avait confiance en vous.
She trusted you.	Elle t'a fait confiance.
She trusted you.	Elle a eu confiance en toi.
She trusted you.	Elle vous a fait confiance.
She trusted you.	Elle a eu confiance en vous.
She was panting.	Elle tirait la langue.
She was panting.	Elle haletait.
She was perfect.	Elle fut parfaite.
She was perfect.	Elle a été parfaite.
She went inside.	Elle est rentrée.
She woke him up.	Elle le réveilla.
She woke him up.	Elle l'a réveillé.
She worked hard.	Elle a travaillé dur.
She worked hard.	Elle travaillait dur.
She's assertive.	Elle a de l'assurance.
She's depressed.	Elle est déprimée.
She's in danger.	Elle est en danger.
She's my friend.	C'est mon amie.
She's my friend.	Elle est mon amie.
She's my sister.	C'est ma sœur.
She's no singer.	Elle n'est pas chanteuse.
She's on a roll.	Elle est dans une bonne passe.
She's on a roll.	Elle a la baraka.
She's very tall.	Elle est très grande.
Sheep eat grass.	Les moutons mangent de l'herbe.
Should we start?	Devrions-nous commencer ?
Should we worry?	Devrions-nous nous en faire ?
Show them to me.	Montre-les-moi.
Show us the way.	Montre-nous le chemin !
Show us the way.	Montrez-nous le chemin.
Shut your mouth.	Ferme-la !
Sit right there.	Assieds-toi juste là !
Sit up straight.	Tiens-toi droit.
Sorry, I forgot.	Désolé, j'ai oublié.
Sound the alarm!	Sonne l'alarme !
Sound the alarm!	Sonnez l'alarme !
Speak your mind.	Dis ce que tu penses.
Speak your mind.	Dites ce que vous pensez.
Spring has come.	Le printemps est arrivé.
Spring has come.	Le printemps est venu.
Stay in the car.	Reste dans la voiture !
Stay in the car.	Restez dans la voiture !
Stay right here.	Reste juste ici !
